[Path1] new start x:52.9673 y:63.6838 t:0
[Path1] new goal x:16.7675 y:49.1923 t:180
[Path1] 开始路径规划...
[Path1] A*搜索完成，用时: 0.0131981 秒
[Path1] Raw Path (x, y, heading_deg, drive):
  27.9509, 42.2935, 221.657, 倒车
  28.479, 42.7633, 221.657, 倒车
  29.5353, 43.703, 221.657, 倒车
  30.5915, 44.6426, 221.657, 倒车
  31.6477, 45.5823, 221.657, 倒车
  32.704, 46.5219, 221.657, 倒车
  33.2321, 46.9918, 221.657, 倒车
  33.7602, 47.4616, 221.657, 倒车
  34.2883, 47.9314, 221.657, 倒车
  34.8164, 48.4013, 221.657, 倒车
  35.3446, 48.8711, 221.657, 倒车
  35.8727, 49.3409, 221.657, 倒车
  36.4008, 49.8108, 221.657, 倒车
  36.9289, 50.2806, 221.657, 倒车
  37.457, 50.7504, 221.657, 倒车
  37.9563, 51.2502, 214.907, 倒车
  38.5108, 51.6879, 208.157, 倒车
  39.113, 52.0574, 201.407, 倒车
  39.7543, 52.3535, 194.657, 倒车
  40.4261, 52.5722, 187.907, 倒车
  41.1189, 52.7104, 181.157, 倒车
  41.8231, 52.7662, 174.407, 倒车
  42.5291, 52.7389, 167.657, 倒车
  43.2269, 52.6288, 160.907, 倒车
  43.9069, 52.4374, 154.157, 倒车
  43.2541, 52.7074, 147.407, 正向
  42.4602, 53.3136, 137.858, 正向
  41.778, 54.0431, 128.309, 正向
  41.2262, 54.8757, 118.759, 正向
  40.8201, 55.7883, 109.21, 正向
  40.5711, 56.7556, 99.6608, 正向
  40.4861, 57.7508, 90.1115, 正向
  40.5673, 58.7463, 80.5622, 正向
  40.8125, 59.7146, 71.0129, 正向
  41.215, 60.6288, 61.4636, 正向
  41.7635, 61.4635, 51.9143, 正向
  42.4429, 62.1957, 42.3651, 正向
  43.2344, 62.805, 32.8158, 正向
  44.116, 63.2745, 23.2665, 正向
  45.0633, 63.5914, 13.7172, 正向
  46.05, 63.7466, 4.16786, 正向
  47.0496, 63.7647, 0.218112, 正向
  48.0496, 63.7685, 0.218112, 正向
  49.0496, 63.7723, 0.218112, 正向
  50.0496, 63.7761, 0.218112, 正向
  51.0496, 63.7799, 0.218112, 正向
  52.0496, 63.7837, 0.218112, 正向
  53.0495, 63.7875, 0.218112, 正向
[Path5] Smoothed Path (x, y, heading_deg, drive):
  16.539, 34.6649, 181.157, 正向
  17.2449, 34.6376, 187.907, 倒车
  17.9479, 34.6981, 194.657, 倒车
  18.6399, 34.8384, 191.462, 倒车
  19.3122, 35.0549, 197.852, 倒车
  19.9551, 35.3464, 204.39, 倒车
  20.5572, 35.7159, 221.657, 倒车
  21.6135, 36.6555, 221.657, 倒车
  22.5779, 37.5135, 221.657, 倒车
  23.4588, 38.2972, 221.657, 倒车
  24.2654, 39.0148, 221.658, 倒车
  25.0093, 39.6766, 221.658, 倒车
  25.7056, 40.296, 221.657, 倒车
  26.372, 40.8889, 221.657, 倒车
  27.0282, 41.4727, 221.657, 倒车
  27.6925, 42.0636, 221.657, 倒车
  28.3793, 42.6746, 221.657, 倒车
  29.0964, 43.3125, 221.657, 倒车
  29.8436, 43.9773, 221.657, 倒车
  30.6129, 44.6617, 221.657, 倒车
  31.39, 45.353, 221.657, 倒车
  32.1574, 46.0358, 221.657, 倒车
  32.8977, 46.6943, 221.657, 倒车
  33.5968, 47.3162, 221.657, 倒车
  34.2462, 47.894, 221.658, 倒车
  34.8449, 48.4266, 221.658, 倒车
  35.3986, 48.9192, 221.657, 倒车
  35.9191, 49.3823, 221.657, 倒车
  36.4229, 49.8305, 221.657, 倒车
  36.9289, 50.2806, 221.657, 倒车
  37.457, 50.7504, 221.657, 倒车
  37.9563, 51.2502, 214.907, 倒车
  38.5162, 51.6735, 208.157, 倒车
  39.1224, 52.0276, 210.29, 倒车
  39.7653, 52.3129, 203.935, 倒车
  40.4361, 52.5275, 197.74, 倒车
  41.1262, 52.669, 191.586, 倒车
  41.8272, 52.7352, 185.395, 倒车
  42.5303, 52.7235, 179.046, 倒车
  43.2269, 52.6288, 172.253, 倒车
  43.9069, 52.4374, 154.157, 倒车
  43.2541, 52.7074, 147.407, 正向
  42.4159, 53.1542, 137.858, 正向
  41.5125, 53.7717, 145.648, 正向
  40.6637, 54.5541, 137.33, 正向
  39.9928, 55.4987, 125.384, 正向
  39.62, 56.6063, 108.603, 正向
  39.5162, 57.7971, 94.9802, 正向
  39.6498, 58.9956, 83.6413, 正向
  39.9968, 60.1365, 73.0842, 正向
  40.5288, 61.1615, 62.5683, 正向
  41.2215, 62.0118, 50.8308, 正向
  42.0524, 62.6381, 37.0084, 正向
  42.9775, 63.083, 25.6853, 正向
  43.958, 63.3929, 17.5401, 正向
  44.9691, 63.5958, 11.3467, 正向
  45.992, 63.7197, 6.90287, 正向
  47.0152, 63.7871, 3.7689, 正向
  48.033, 63.8156, 1.60286, 正向
  49.0439, 63.8189, 0.190021, 正向
  50.049, 63.8083, 359.398, 正向
  51.0501, 63.7936, 359.156, 正向
  52.0496, 63.7837, 359.433, 正向
  53.0495, 63.7875, 0.218112, 正向
[Path5] 路径规划完成，总用时: 0.0639717 秒
[Path5] Smoothed Path 装载机模拟完成
